kobeNS,
X,Y
0.02,818.004184121828
0.0206344386690599,817.407236731771
0.0212890029593597,818.045240820366
0.0219643312945171,819.206412744253
0.0226610823501813,814.978732183847
0.0233799356964666,811.45876777081
0.0241215924607652,813.947587749956
0.0248867760115858,814.202889698525
0.0256762326640849,813.50886432396
0.0264907324079786,813.750827701388
0.0273310696585456,813.906737254851
0.0281980640314531,814.309021618582
0.0290925611421621,814.617492119087
0.030015433430691,813.555600000462
0.0309675810125421,812.022459561672
0.0319499325566222,811.671988297058
0.032963446191011,812.66050503792
0.0340091104374637,814.106146852764
0.0350879451755564,815.381520520039
0.0362010026374177,816.225024515636
0.0373493684340136,816.629428760546
0.0385341626139887,817.159635235229
0.0397565407560965,817.902086125793
0.0410176950962826,818.675928771852
0.0423188556905221,819.411960433199
0.0436612916145438,819.80962606697
0.0450463122016121,820.316141403085
0.0464752683195744,821.439234593862
0.047949553688418,822.978782659955
0.0494706062396228,825.464904552156
0.0510399095186354,827.883314344053
0.0526589941318324,830.106357170072
0.054329439239384,832.975911545044
0.0560528740954743,832.7603018913
0.05783097963738,829.364592469414
0.0596654901249584,831.103586477168
0.0615581948321426,836.038814376888
0.0635109397920943,835.1155887305
0.0655256295977162,831.761478110884
0.0676042292592805,834.212995675245
0.0697487661209844,834.618604274888
0.0719613318383027,837.05318491848
0.0742440844180662,841.204482029889
0.0765992503232546,841.290594415085
0.0790291266445581,851.946075953057
0.0815360833408251,844.484572784649
0.0841225655505805,839.615196044012
0.0867910959768712,853.101858851094
0.0895442773477619,863.410435198838
0.0923847949548841,843.38200888065
0.0953154192725114,863.895836831406
0.0983390086597183,894.197495354842
0.101458512148255,912.628970008244
0.104676972318862,888.60403084165
0.107997528268822,891.015200010415
0.111423418673653,877.446948250506
0.114957984945924,827.010344907901
0.118604674494269,848.398535703168
0.12236704408579,868.113102513261
0.126248763315119,868.564417658867
0.130253618183524,885.532189215578
0.134385514791554,969.052847787822
0.138648483148818,1080.88661117607
0.143046681104623,1154.84384698487
0.147584398403296,1192.17826901233
0.152266060868146,1124.99984810382
0.157096234718154,1039.41196889694
0.1620796310216,1028.9221774285
0.167221110290953,1071.87288855898
0.172525687223538,1138.44566926091
0.177998535592575,1142.54203622808
0.183644993293373,1054.72437470149
0.189470567549601,985.79686352717
0.195480940284711,1001.13674642814
0.201681973663751,1054.06736242435
0.208079715810981,1088.01700475624
